no,pricechangepercent,Below60times,Above60times,for60buy,trust60buy,self60buy,for30buy,trust30buy,self30buy,buysamedays,sellsamedays,FTBDays,TSBDays,SFBDays,FTSDays,TSSDays,SFSDays,P0RateOf0_1,P1RateOf0_1,P2-5RateOf0_1,P6-9RateOf0_1,P10-16RateOf0_1,H0RateOf0_1,H1RateOf0_1,H2-5RateOf0_1,H6-9RateOf0_1,H10-16RateOf0_1,P0RateOf1_2,P1RateOf1_2,P2-5RateOf1_2,P6-9RateOf1_2,P10-16RateOf1_2,H0RateOf1_2,H1RateOf1_2,H2-5RateOf1_2,H6-9RateOf1_2,H10-16RateOf1_2,P0RateO41_4,P1RateOf4_4,P2-5RateOf4_4,P6-9RateOf4_4,P10-16RateOf4_4,H0RateOf4_4,H1RateOf4_4,H2-5RateOf4_4,H6-9RateOf4_4,H10-16RateOf4_4
0050,-0.0300875273522976,0,20,0.245147808844508,0.00540798858773181,-0.0296236291012839,0.0604669643366619,0.0045848787446505,-0.00438031098430813,1,0,5,4,6,0,0,1,0.00564079980003623,-0.00435310808568645,-0.00140173495964842,4.32272218994674E-05,7.08160233992153E-05,0.01,-0.149999999999999,-0.210000000000001,-0.2,0.530000000000001,0.0114420970292627,-0.00839747809706992,-0.00312254535848787,6.69590033351083E-05,1.0967422960061E-05,0.02,-0.289999999999999,-0.500000000000002,-0.080000000000001,0.819999999999993,0.0268956622316804,-0.0216815515870347,-0.00548615325029329,0.000246355919000046,1.47821558150372E-05,0.16,0.370000000000001,0.139999999999999,0.74,-1.42
0051,-0.0439623180131316,0,20,0,0,0.0188888888888889,-0.000111111111111111,0,0.005,0,0,0,0,0,0,0,1,-0.00323186851688662,0.00335502776391639,0.000408230435198054,-0.000529797105757696,-1.59257647021349E-06,0,-0.0300000000000011,0.27,-0.259999999999998,0.0199999999999996,-0.0037321325154786,0.00325369497102468,0.00158502415896487,-0.00109939406790723,-7.19254660370614E-06,0.01,0.129999999999999,0.710000000000001,-0.66,-0.190000000000001,-0.00347810755898503,0.0034395733577699,0.000992387647729825,-0.000960979634410726,7.1261878959322E-06,0.02,0.0299999999999976,0.439999999999998,-0.190000000000001,-0.310000000000002
0052,0.0272314674735251,0,20,-1.23529411764706E-05,0,-0.0184334117647059,0,0,-0.024,0,0,0,0,0,0,0,0,0.00226096903230077,-0.0010213951813845,-0.000504716191135908,-0.000587886127824217,-0.000146971531956054,0.12,0.560000000000001,0.120000000000001,-0.82,0.0100000000000051,0.00577996445402995,-0.00117134455627449,-0.00224908139627766,-0.00206124191229331,-0.00029829658918444,0.17,1.14,0.530000000000001,-1.84,0,0.0102138716244544,-0.00307408424751965,-0.00427401537962115,-0.00156135617189112,-0.00130441582542251,0.2,1.54,0.500000000000001,0.159999999999998,-2.40000000000001
0053,-0.0356968215158924,0,20,0,0,0.0278790087463557,0,0,0.0147594752186589,0,0,0,0,0,0,0,0,-0.000858136238816545,0.00477788112321731,-0.00397510851271149,0.00121799982283639,-0.00116263619452564,0.01,2.26,1.81,2.45,-6.49,0.000944791782963042,0.00437506977782742,-0.0052779948643519,0.00233337054817461,-0.00237523724461315,0.03,2.42,1.84,5.63,-9.9,0,0.00471698113207553,-0.00471698113207547,0.00235849056603774,-0.00235849056603774,0.03,2.42,1.91,5.64,-9.99
0055,-0.0445012787723786,0,20,5.38300048447004E-05,0,0.0357464875921839,2.69150024223502E-05,0,0.0981089788448081,0,0,0,0,1,0,0,0,-0.00123874772103361,0.004443221526653,-0.00228761989708429,-0.000565613413390419,-0.000351240495144587,0,0.25,-0.0399999999999991,-0.170000000000002,-0.0600000000000023,-0.000594810037815814,0.00607200507832151,-0.00391408959229198,-0.00117587163034463,-0.000387233817869031,0.01,0.41,-0.0499999999999972,-0.32,-0.0599999999999952,0.00113964347717813,0.00520643018131495,-0.00514637751818289,-0.000789336275574551,-0.000410359864735618,0.01,0.449999999999999,-0.0899999999999999,-0.289999999999999,-0.0799999999999983
0056,0.00251527128997486,14,15,0.000621469360924295,-0.000395950540780023,-0.228617709752877,0.000758898796195031,0.00158860738812956,-0.329247626699368,0,0,8,0,1,0,1,2,0.00117395435962157,-0.00129814068337952,5.22168670882839E-06,0.000105581247551084,1.29232393379084E-05,0.01,0.0300000000000011,0.100000000000001,-0.00999999999999801,-0.460000000000004,-0.00276114496027075,0.00243441441043923,-0.000246108932687339,0.000554275172209656,2.40671967443613E-05,-0.01,0.109999999999999,0.00999999999999801,0.370000000000001,-3.23,-0.0224613539886494,0.00600840752172005,0.0134997390381819,0.00280884620865659,0.000140329332426853,-0.11,0.57,2.74,2.81,-7.45
0061,0.0357142857142855,13,13,0.0213244081674168,0,0.0091257691916495,0.0123642789940753,0,0.0103990578991533,0,0,0,0,13,0,0,4,0.000763440863568186,-0.00095635114582282,-0.000316865186816007,0.000364249631495284,0.000145525837575402,0,-0.0700000000000003,-0.169999999999998,-0.120000000000005,0.390000000000001,0.000753639359141269,-0.000741989738586746,-0.000249773091834826,1.1664994517574E-05,0.0002264584767628,0,-0.0800000000000001,-0.189999999999998,-0.310000000000002,0.580000000000005,0.000844290730944601,-0.0002818810603189,-0.00152288919164467,0.000510285104234426,0.00045019441678462,0,-0.0800000000000001,-0.359999999999999,-0.299999999999997,0.730000000000004
1103,0.025706940874036,0,20,0.0102880745013232,2.69689269483312E-05,-0.000140684998199,0.0019966944239803,6.8270944768221E-05,8.26040356397796E-05,1,0,1,2,4,0,0,1,0.000324246193879496,-0.000654737622556412,0.000239421154499347,1.35573986811202E-05,7.7512875496435E-05,0,-0.0100000000000002,0.0300000000000002,0.0700000000000003,-0.0900000000000034,0.000614379781065266,-0.00100868055410286,0.000201821931120713,0.00010828435968107,8.41944822357714E-05,0,-0.0100000000000002,0.0300000000000002,0.0899999999999999,-0.100000000000009,-0.00421741779407259,0.00309958799525661,0.000755745915159686,0.000417597282631313,-5.55133989750822E-05,0,0.0600000000000001,0.0800000000000001,0.27,-0.410000000000011
1108,-0.018041237113402,0,20,-0.00152938425613649,0,1.48244031289482E-05,-0.000187775772966678,0,1.23536692741235E-05,0,0,0,0,0,0,0,0,0.00105177580915145,-0.000670974217761855,-0.000805470800613772,0.000393233910069256,3.14352991549766E-05,0,-0.0100000000000002,-0.0599999999999996,0.04,0.019999999999996,0.00236945683738859,-0.00118956377751067,-0.00142920268650734,-1.90630234117306E-05,0.000268372650041204,0,-0.02,-0.119999999999999,-0.109999999999999,0.260000000000005,0.00316949050058929,-0.000618761403596513,-0.00233733919156109,-0.000694118664295494,0.000480728758863794,0,-0.04,-0.189999999999999,-0.33,0.560000000000002
1203,-0.00186567164179107,3,19,0.000264241666666667,0,0,0.000143408333333333,0,0,0,0,0,0,0,0,0,0,0.000284982558075964,-0.00052724127732981,0.000335279223317036,-9.41702015263834E-05,1.14969746319374E-06,0,-0.02,0.0500000000000007,-0.130000000000001,0.0899999999999892,0.000520225161987686,-0.000517669914253185,8.75403557943563E-05,-0.000124370630480912,3.42750269520446E-05,0,-0.0100000000000002,0.0199999999999996,-0.210000000000001,0.200000000000003,0.000532125912130699,-0.000936195885472543,0.000296418860419732,0.00010420513072497,3.44598219709441E-06,0,-0.0300000000000002,0.04,-0.0600000000000005,0.039999999999992
