no,pricechangepercent,Below60times,Above60times,for60buy,trust60buy,self60buy,for30buy,trust30buy,self30buy,buysamedays,sellsamedays,FTBDays,TSBDays,SFBDays,FTSDays,TSSDays,SFSDays,P0RateOf0_1,P1RateOf0_1,P2-5RateOf0_1,P6-9RateOf0_1,P10-16RateOf0_1,H0RateOf0_1,H1RateOf0_1,H2-5RateOf0_1,H6-9RateOf0_1,H10-16RateOf0_1,P0RateOf1_2,P1RateOf1_2,P2-5RateOf1_2,P6-9RateOf1_2,P10-16RateOf1_2,H0RateOf1_2,H1RateOf1_2,H2-5RateOf1_2,H6-9RateOf1_2,H10-16RateOf1_2,P0RateO41_4,P1RateOf4_4,P2-5RateOf4_4,P6-9RateOf4_4,P10-16RateOf4_4,H0RateOf4_4,H1RateOf4_4,H2-5RateOf4_4,H6-9RateOf4_4,H10-16RateOf4_4
1262,0.00544217687074838,0,20,0.0505495194367922,0,-0.000863177226813591,0.00857504744413835,0,-0.00198959289868381,0,0,0,0,3,0,0,5,0.00172528356944476,0.00195418989639962,-0.00439879956211636,0.000521957001743401,0.000197369094528612,0,-0.0300000000000002,-0.280000000000001,0.0499999999999989,0.259999999999991,0.000855192751775258,0.00144016893869803,-0.00248771883413582,0.000599500569760745,-0.000407143426098231,0,-0.00999999999999979,-0.210000000000001,0.4,-0.200000000000003,0.00366521955476845,0.00161484679338164,-0.00387491813068028,-0.00106831239067664,-0.000336835826793194,0,-0.0599999999999996,-0.390000000000001,-0.180000000000001,0.609999999999999
1310,-0.0634615384615384,0,20,0.132606075918377,0.00915566741951145,-0.0041222289064467,0.0297029533974217,0.00563017661303291,0.000856271813287643,6,0,7,6,12,0,3,2,0.0024982200733914,-0.000536174657014443,-0.00160286527767196,-0.000362250206144213,3.07006743929458E-06,0,-0.0300000000000011,-0.289999999999999,-0.390000000000001,0.740000000000009,0.0118402442245356,-0.00665685789018089,-0.00460040342524506,-0.000602069988031183,1.90870789216146E-05,0.00999999999999979,-0.35,-0.93,-0.630000000000001,1.95,0.0310952236828914,-0.0191472808531137,-0.0103598153973302,-0.00170657631451165,0.000118448882064112,0.00999999999999979,-1.03,-2.35,-1.78,5.16
1423,-0.00961538461538458,10,18,0.00239450867052023,0,-0.00013728323699422,0.00113439306358382,0,-0.000101156069364162,0,0,0,0,0,0,0,1,0.00381109465468832,-0.00200272066876694,-0.00146422494646364,-0.000274879424486937,-6.92696149707074E-05,-0.01,0,-0.0400000000000009,-0.0199999999999996,0.0799999999999983,0.00501652751324333,-0.00226686194687237,-0.00262790312860696,-5.83750781911301E-05,-6.33873595728141E-05,-0.01,0,-0.16,-0.0299999999999994,0.210000000000008,0.00817781336943213,-0.00419371592312739,-0.00319855974881958,-0.000588937386974901,-0.000196600310510194,-0.01,-0.0300000000000002,-0.210000000000001,-0.0199999999999996,0.269999999999996
1439,-0.129120879120879,1,20,0.00775005434782609,0,0.000652173913043478,-0.00808695652173913,0,0.000489130434782609,0,0,0,0,1,0,0,5,-0.00387846133874981,0.00498168580602626,-0.00090374845658811,-1.74272781637841E-05,-0.000182048732524579,0,0.140000000000001,0.0800000000000001,0.43,-0.659999999999997,-0.00521021375308806,0.00419298165332377,0.00113032666699742,-7.28592204879593E-05,-4.02353467452371E-05,0,0.140000000000001,0.109999999999999,0.199999999999999,-0.439999999999998,-0.00811058314043644,0.00693250278295277,0.00160502234330494,-0.000362181122803455,-6.47608630178357E-05,0,0.2,0.18,-0.0299999999999994,-0.350000000000009
1451,0.107421875,0,20,-0.00471641414141414,0.0018030303030303,-0.000227272727272727,-0.00113560606060606,0.0018030303030303,0.000535353535353535,0,0,3,1,2,0,0,2,0.00175347009432658,-0.00129115461892398,-0.000696353339283071,0.000283768892167493,-4.97310282870744E-05,0,-0.0499999999999998,-0.140000000000001,0.0999999999999996,0.0799999999999841,0.00505689426094869,-0.00452335311127677,-0.000774680151509763,0.00027029773933241,-2.91587374946349E-05,0,-0.16,-0.230000000000002,0.109999999999999,0.25,0.00804061490218144,-0.00696225373676868,-0.00162375434064857,0.000419939427746312,0.000125453747489417,0,-0.23,-0.35,0.210000000000001,0.389999999999986
1477,0.317073170731707,1,20,0.0957287698838544,0.00450795421038591,0.00755183148236077,0.0422680572386414,-0.00694422037791991,0.00262316391611675,1,0,4,2,7,2,4,1,-0.00371653399521749,0.00240643923376987,0.000951084162708754,0.00033686859929968,2.21419994391597E-05,-0.01,0.0599999999999996,0.129999999999999,0.190000000000001,-0.399999999999991,-0.00856664432868504,0.00813212295227222,5.41268205166145E-05,-6.1195362675362E-05,0.000441589918571579,-0.01,0.159999999999999,0.0400000000000009,0.0300000000000011,-0.219999999999999,0.00292661813096368,-0.00195723856539637,-0.00332245915755422,0.00149566389010333,0.000795315472112718,-0.01,-0.170000000000001,-0.44,0.620000000000001,-0.00999999999999091
1515,0.113941018766756,0,20,0.0959693453865165,0.0130432266970109,0.0052790076788071,0.0921361796625954,0.00232540839296096,-0.00216009500009643,4,1,6,4,7,1,4,5,0.0437270520949269,-0.0347675385333089,-0.00850801965999806,-0.00191464885895833,0.0013387459003591,0.01,-0.76,-1.01,-1.18,2.87,0.0698543032128,-0.0499086432053599,-0.0198243352275037,-0.00324419530383892,0.00312287052390257,0.01,-1.33,-2.04,-2.61,5.96000000000001,0.0771650784022875,-0.0490437775260833,-0.0268891792799069,-0.00512392582274211,0.00377843839490638,0.01,-1.46,-2.66,-3.21,7.31
1582,0.260211800302572,0,20,0.00904978381305946,-0.000284907950605707,-0.00437667107100681,0.0031198511728157,-0.000333402920921572,-0.00306730687247846,0,0,0,0,0,0,0,5,0.000167993502358521,0.000622355696795751,-0.000493820591010607,-0.000195223496961588,-0.00010130511118203,-0.02,0.0899999999999999,0.0799999999999983,0.0700000000000021,-0.229999999999997,-0.000734477020912505,0.0018295274776578,-0.000787046909343003,-0.000204446345337703,-0.000103557202064571,-0.04,0.0999999999999996,0.0899999999999999,0.0300000000000011,-0.189999999999998,-0.000153389149061822,0.00210639935840112,-0.00180588049720221,-4.71104989601435E-05,-0.000100019213176919,-0.0900000000000003,0.0299999999999994,-0.0400000000000027,0.250000000000002,-0.159999999999997
1722,0.0176600441501105,7,16,-0.00710685714285714,0.00864794795918367,0.00136734693877551,0.00555246224489796,0.00337100204081633,0.000377551020408163,4,0,9,9,6,0,0,2,-0.000416800152376051,5.24624263790185E-05,0.000423644258456951,-7.81412062913628E-05,1.88346738313992E-05,0,0.00999999999999979,0.0800000000000018,-0.0199999999999996,-0.0700000000000074,0.00329295078069064,-0.00220576376180781,-0.000700311546230264,-0.000457021046826728,7.01455741741975E-05,0,-0.109999999999999,-0.169999999999998,-0.41,0.699999999999989,0.00334962338330203,-0.00221792096669482,-0.000969567040165098,-0.000339824379086057,0.000177689002643881,0,-0.109999999999999,-0.179999999999998,-0.27,0.569999999999993
1730,0.0419161676646706,0,20,-0.00188405415953553,0,0.00121488726030619,-0.00140962472774274,0,0.00131258809462672,0,0,0,0,0,0,0,2,0.00362509666525102,-0.00436266525939233,-0.000755239391381807,0.00135885435728914,0.00013395362823398,0.01,-0.140000000000001,-0.0399999999999991,0.450000000000003,-0.259999999999991,0.00640222148225666,-0.00747431262486919,-0.000388283702787554,0.00130131528874512,0.000159059556654933,0,-0.369999999999999,-0.0800000000000001,0.680000000000001,-0.22999999999999,0.0140292660789294,-0.0163720944413565,0.000149660749423644,0.00198677942966502,0.000206388183338376,0.01,-0.65,-0.220000000000001,1.08,-0.209999999999994
